title,link,score,score_cnt,top_no,director,writers,actors,types,edit_location,language,dates,play_location,length,rating_per,betters,had_seen,want_see,tags,short_review,review,ask,discussion
乱世佳人,https://movie.douban.com/subject/1300267/,9.2,343168人评价,26,"['维克多·弗莱明', '乔治·库克', '山姆·伍德']","['玛格丽特·米歇尔', '西德尼·霍华德', '奥利弗·H·P·加勒特', '本·赫克特', '乔·斯沃林', '约翰·范·德鲁登']","['费雯·丽', '克拉克·盖博', '奥利维娅·德哈维兰', '托马斯·米切尔', '芭芭拉·欧内尔', '伊夫林·凯耶斯', '安·卢瑟福德', '乔治·里弗斯', '弗莱德·克莱恩', '海蒂·麦克丹尼尔斯', '奥斯卡·波尔克', '巴特弗莱·麦昆', '维克托·乔里', '埃弗雷特·布朗', '霍华德·C·希克曼', '艾丽西亚·瑞特', '莱斯利·霍华德', '兰德·布鲁克斯', '卡洛尔·奈', '劳拉·霍普·克鲁斯', '埃迪·安德森', '哈里·达文波特', '利昂娜·罗伯特', '简·达威尔', '欧娜·满森', '保罗·赫斯特', '伊莎贝尔·朱尔', '卡米·金·肯伦', '艾瑞克·林登', 'J·M·克里根', '沃德·邦德', '莉莲·肯布尔-库珀']","['剧情', '爱情', '历史', '战争']", 美国, 英语,"['1939', '1940']","['亚特兰大首映', '美国']",238,"['67.9%', '26.6%', '5.1%', '0.3%', '0.1%']","['99% 爱情片', '99% 战争片']",464522,133398,"['经典', '爱情', '乱世佳人', '美国', '飘', '战争', '名著改编', '人生']",67119,1472,24,149
蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,9.1,455581人评价,27,['克里斯托弗·诺兰'],"['乔纳森·诺兰', '克里斯托弗·诺兰', '大卫·S·高耶']","['克里斯蒂安·贝尔', '希斯·莱杰', '艾伦·艾克哈特', '迈克尔·凯恩', '玛吉·吉伦哈尔', '加里·奥德曼', '摩根·弗里曼', '莫尼克·加布里埃拉·库尔内', '罗恩·迪恩', '基里安·墨菲', '黄经汉', '内斯特·卡博内尔', '埃里克·罗伯茨', '里特奇·科斯特', '安东尼·迈克尔·豪尔', '基斯·斯扎拉巴基克', '柯林·麦克法兰', '约书亚·哈尔托', '美琳达·麦格劳', '内森·甘宝', '迈克尔·维约', '迈克尔·斯托扬诺夫', '威廉·斯米利', '丹尼·高德林', '迈克尔·加·怀特', '马修·奥尼尔', '威廉·菲德内尔', '欧鲁米基·欧拉乌米', '格雷格·比姆', '爱利克·赫尔曼', '毕崔斯·罗森', '文森佐·尼克力', '陈冠希']","['剧情', '动作', '科幻', '惊悚', '犯罪']", 美国 / 英国, 英语 / 汉语普通话,"['2008', '2008']","['纽约首映', '美国']",152,"['64.1%', '27.9%', '7.2%', '0.6%', '0.2%']","['99% 科幻片', '99% 动作片']",623207,78528,"['美国', '科幻', '诺兰', '动作', '犯罪', '人性', '经典', '漫画改编']",81339,1781,64,607
活着,https://movie.douban.com/subject/1292365/,9.2,373880人评价,28,['张艺谋'],"['芦苇', '余华']","['葛优', '巩俐', '姜武', '牛犇', '郭涛', '张璐', '倪大红', '肖聪', '董飞', '刘天池', '董立范', '黄宗洛', '刘燕瑾', '李连义', '杨同顺']","['剧情', '家庭', '历史']", 中国大陆 / 香港, 汉语普通话,"['1994', '1994']","['戛纳电影节', '香港']",132,"['64.3%', '29.8%', '5.4%', '0.4%', '0.1%']","['99% 剧情片', '99% 历史片']",499757,145279,"['张艺谋', '活着', '文革', '葛优', '中国电影', '巩俐', '剧情', '中国']",77405,1936,26,201
天堂电影院,https://movie.douban.com/subject/1291828/,9.1,375428人评价,29,['朱塞佩·托纳多雷'],"['朱塞佩·托纳多雷', 'Vanna Paoli']","['安东内拉·阿蒂利', '恩佐·卡拉瓦勒', '艾萨·丹尼埃利', '里奥·故罗塔', '马克·莱昂纳蒂', '普佩拉·玛奇奥', '阿格妮丝·那诺', '莱奥波多·特里耶斯泰', '萨瓦特利·卡西欧', '塔诺·希玛罗萨', '尼古拉·迪·平托', '罗伯塔·蕾娜', '尼诺·戴罗佐', '雅克·贝汉', '布丽吉特·佛西', '菲利普·努瓦雷']","['剧情', '爱情']", 意大利 / 法国, 意大利语 / 英语 / 葡萄牙语,['1988'],['意大利'],155,"['64.3%', '29.3%', '5.9%', '0.4%', '0.1%']","['98% 剧情片', '98% 爱情片']",495635,176981,"['意大利', '经典', '成长', '天堂电影院', '托纳多雷', '剧情', '意大利电影', '电影']",68810,2234,48,247
少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,9.0,741082人评价,30,['李安'],"['扬·马特尔', '大卫·麦基']","['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布', '阿尤什·坦东', '加塔姆·贝鲁尔', '阿彦·汗', '穆德·阿巴斯·卡勒里', '维比什·希瓦库玛', '热拉尔·德帕迪约', '詹姆斯·塞托', '俊·奈托', '安德里亚·迪·斯戴法诺', '沙拉万提·塞纳特', '王柏杰', '柯一正', '黄健玮']","['剧情', '奇幻', '冒险']", 美国 / 台湾 / 英国 / 加拿大, 英语 / 泰米尔语 / 法语 / 日语 / 印地语 / 汉语普通话,"['2012', '2012', '2012']","['中国大陆', '纽约电影节', '美国']",127,"['60.7%', '31.7%', '6.9%', '0.5%', '0.2%']","['98% 奇幻片', '98% 冒险片']",962036,107026,"['奇幻', '人性', '冒险', '美国', '人生', '3D', '剧情', '文艺']",191060,6980,34,760
十二怒汉,https://movie.douban.com/subject/1293182/,9.4,221043人评价,31,['西德尼·吕美特'],['雷金纳德·罗斯'],"['亨利·方达', '马丁·鲍尔萨姆', '约翰·菲德勒', '李·科布', 'E.G.马绍尔', '杰克·克卢格曼 ', '爱德华·宾斯', '杰克·瓦尔登', '约瑟夫·史威尼', '埃德·贝格利', '乔治·沃斯科维奇', '罗伯特·韦伯']",['剧情'], 美国, 英语,['1957'],['美国'],96,"['73.8%', '22.1%', '3.7%', '0.2%', '0.1%']",['99% 剧情片'],272791,148744,"['经典', '人性', '美国', '黑白', '剧情', '法律', '1957', '推理']",51213,1350,27,164
鬼子来了,https://movie.douban.com/subject/1291858/,9.2,308008人评价,32,['姜文'],"['姜文', '史健全', '述平', '尤凤伟']","['姜文', '香川照之', '袁丁', '姜宏波', '丛志军', '喜子', '泽田谦也', '李海滨', '蔡卫东', '陈述', '陈莲梅', '史健全', '陈强', '宫路佳具', '吴大维', '梶冈润一', '石山雄大', '述平', '姜武']","['剧情', '历史', '战争']", 中国大陆, 汉语普通话 / 日语 / 唐山话,"['2000', '2002']","['戛纳电影节', '日本']",139,"['67.7%', '26.2%', '5.4%', '0.4%', '0.2%']","['99% 战争片', '98% 剧情片']",422771,132280,"['姜文', '人性', '战争', '鬼子来了', '抗日', '中国电影', '中国', '黑色幽默']",58583,1352,60,262
指环王3：王者无敌,https://movie.douban.com/subject/1291552/,9.1,368805人评价,33,['彼得·杰克逊'],"['弗兰·威尔士', '菲利帕·鲍恩斯', '彼得·杰克逊', 'J·R·R·托尔金']","['维果·莫腾森', '伊莱贾·伍德', '西恩·奥斯汀', '丽芙·泰勒', '伊恩·麦克莱恩', '奥兰多·布鲁姆', '凯特·布兰切特', '米兰达·奥图', '安迪·瑟金斯', '雨果·维文', '多米尼克·莫纳汉', '比利·博伊德', '马尔顿·索克斯', '卡尔·厄本', '克里斯托弗·李', '约翰·瑞斯-戴维斯']","['剧情', '动作', '奇幻', '冒险']", 美国 / 新西兰, 英语 / 昆雅语 / 古英语 / 辛达林语,"['2004', '2003']","['中国大陆', '美国']",201,"['64.8%', '27.5%', '6.9%', '0.5%', '0.2%']","['98% 奇幻片', '99% 动作片']",506982,46493,"['魔幻', '史诗', '经典', '美国', '战争', '奥斯卡', '新西兰', '2003']",42195,507,41,87
控方证人,https://movie.douban.com/subject/1296141/,9.6,152866人评价,34,['比利·怀德'],"['阿加莎·克里斯蒂', '比利·怀德', '哈里·库尼兹']","['泰隆·鲍华', '玛琳·黛德丽', '查尔斯·劳顿', '爱尔莎·兰切斯特', '约翰·威廉姆斯', '亨利·丹尼尔', '伊安·沃尔夫', '托林·撒切尔', '诺玛·威登']","['剧情', '悬疑', '犯罪']", 美国, 英语 / 德语,['1957'],['美国'],116,"['81.0%', '17.1%', '1.8%', '0.1%', '0.1%']","['99% 悬疑片', '99% 犯罪片']",176366,126576,"['悬疑', '经典', '推理', '犯罪', '美国', '黑白', '法律', '剧情']",46132,537,40,67
天空之城,https://movie.douban.com/subject/1291583/,9.1,431076人评价,35,['宫崎骏'],['宫崎骏'],"['田中真弓', '横泽启子', '初井言荣', '寺田农', '常田富士男', '永井一郎', '糸博', '鹫尾真知子', '神山卓三', '安原义人', '槐柳二', '鳕子']","['动画', '奇幻', '冒险']", 日本, 日语,"['1992', '1986']","['中国大陆', '日本']",125,"['60.1%', '32.8%', '6.7%', '0.3%', '0.1%']","['98% 动画片', '98% 奇幻片']",573090,106248,"['宫崎骏', '动画', '天空之城', '日本', '动漫', '日本动画', '宮崎駿', '电影']",56768,852,13,128
