rank,title,actor,score,location,release_time
88,上帝之城,"亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺",8.9,巴西,2002-08-30
89,辩护人,"宋康昊,郭度沅,吴达洙",8.8,韩国,2013-12-18
90,七武士,"三船敏郎,志村乔,千秋实",9.1,日本,1954-04-26
91,英雄本色,"狄龙,张国荣,周润发",9.2,中国,2017-11-17
92,一一,"吴念真,金燕玲,李凯莉",8.9,法国,2000-09-20
93,完美的世界,"凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟",8.9,美国,1993-11-24
94,海洋,"雅克·贝汉,姜文,兰斯洛特·佩林",9.0,中国,2011-08-12
95,爱·回家,"俞承豪,金艺芬,童孝熙",9.0,韩国,2002-04-05
96,黄金三镖客,"克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫",8.9,意大利,1966-12-23
97,我爱你,"宋在浩,李顺才,尹秀晶",9.0,韩国,2011-02-17
98,迁徙的鸟,"雅克·贝汉,Philippe Labro",9.1,法国,2001-12-12
99,阿飞正传,"张国荣,张曼玉,刘德华",8.8,中国,2018-06-25
100,龙猫,"秦岚,糸井重里,岛本须美",9.2,中国,2018-12-14
